graph,objective,route,B_factor,B,alpha,epsilon,t,n,m,K,queries,accepted_pairs,swaps,consistency_violations,support_size,f_value,time_sec,graph_mem_mb,algo_mem_mb,seed,kic_mc,decision_f_value,eval_mc
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,1,82168,948464,3,4,1,1,0,1,0,0.066379991,104.859375,86.00390625,42,100,0,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,4326,82168,948464,3,17304,3052,3052,0,3052,548.8386,137.333610116,104.859375,86.00390625,42,100,548.57,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,8650,82168,948464,3,34600,6101,6101,0,6101,1276.3273,569.145192789,104.859375,86.00390625,42,100,1283.17,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,12975,82168,948464,3,51900,8731,8731,0,8731,2367.8038,1340.166520012,104.859375,86.00390625,42,100,2374.06,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,17299,82168,948464,3,69196,11117,11117,0,11117,3633.966,2410.129184833,104.859375,86.00390625,42,100,3636.76,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,21624,82168,948464,3,86496,13229,13229,0,13229,5112.8507,3738.173420451,104.859375,86.00390625,42,100,5123.99,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,25948,82168,948464,3,103792,14902,14902,0,14902,6900.7272,5297.717098188,104.859375,86.00390625,42,100,6891.54,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,30273,82168,948464,3,121092,16300,16300,0,16300,8871.4539,7058.267731854,104.859375,86.00390625,42,100,8877.54,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,34598,82168,948464,3,139728,17769,17769,0,16433,10534.5057,9025.918649352,104.859375,86.00390625,42,100,10541.47,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,38922,82168,948464,3,158675,19420,19420,0,16433,11959.6951,10926.330247725,104.859375,86.00390625,42,100,11911.3,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,43247,82168,948464,3,177573,21018,21018,0,16433,13116.714,12739.970165157,104.859375,86.00390625,42,100,13137.39,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,47571,82168,948464,3,196326,22475,22475,0,16433,13977.4404,14452.051017079,104.859375,86.00390625,42,100,14025.26,10000
Slashdot.bin,kic,OPS,0.2,16433,1.505,0.1,51896,82168,948464,3,214909,23758,23758,0,16433,14576.5805,16060.96340113,104.859375,86.00390625,42,100,14651.2,10000
