graph,objective,route,B_factor,B,alpha,epsilon,t,n,m,K,queries,accepted_pairs,swaps,consistency_violations,support_size,f_value,time_sec,graph_mem_mb,algo_mem_mb,seed,kic_mc,decision_f_value,eval_mc
email.bin,kic,OPS,0.2,201,1.505,0.1,1,1005,32770,3,4,1,1,0,1,0,0.003136577,6.5703125,3.9140625,42,200,0,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,54,1005,32770,3,216,28,28,0,28,3.9682,0.020068147,6.5703125,3.9140625,42,200,4.175,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,107,1005,32770,3,428,54,54,0,54,10.4757,0.069637032,6.5703125,3.9140625,42,200,10.855,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,160,1005,32770,3,640,80,80,0,80,22.1215,0.182124821,6.5703125,3.9140625,42,200,22.82,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,212,1005,32770,3,848,104,104,0,104,37.9412,0.385288954,6.5703125,3.9140625,42,200,38.46,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,265,1005,32770,3,1060,127,127,0,127,56.2264,0.685100349,6.5703125,3.9140625,42,200,56.975,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,318,1005,32770,3,1272,146,146,0,146,78.6488,1.097221006,6.5703125,3.9140625,42,200,79.305,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,371,1005,32770,3,1484,167,167,0,167,102.8309,1.633324456,6.5703125,3.9140625,42,200,103.3,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,424,1005,32770,3,1696,174,174,0,174,136.4704,2.317146342,6.5703125,3.9140625,42,200,136.42,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,477,1005,32770,3,1908,183,183,0,183,170.5427,3.163902562,6.5703125,3.9140625,42,200,170.82,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,529,1005,32770,3,2116,197,197,0,197,203.9488,4.142400269,6.5703125,3.9140625,42,200,206.045,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,582,1005,32770,3,2337,210,210,0,201,240.5242,5.33219601,6.5703125,3.9140625,42,200,241.8,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,635,1005,32770,3,2561,222,222,0,201,273.0705,6.612087035,6.5703125,3.9140625,42,200,272.675,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,688,1005,32770,3,2780,229,229,0,201,305.8704,7.902820377,6.5703125,3.9140625,42,200,306.28,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,741,1005,32770,3,3000,237,237,0,201,337.5027,9.246376881,6.5703125,3.9140625,42,200,339.07,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,794,1005,32770,3,3219,244,244,0,201,372.2309,10.619044143,6.5703125,3.9140625,42,200,373.405,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,846,1005,32770,3,3437,254,254,0,201,403.5694,12.010096864,6.5703125,3.9140625,42,200,402.25,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,899,1005,32770,3,3656,261,261,0,201,440.012,13.438299175,6.5703125,3.9140625,42,200,437.235,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,952,1005,32770,3,3879,272,272,0,201,473.7381,14.923372471,6.5703125,3.9140625,42,200,473.34,10000
email.bin,kic,OPS,0.2,201,1.505,0.1,1005,1005,32770,3,4098,279,279,0,201,510.9935,16.411774882,6.5703125,3.9140625,42,200,510.79,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,1,1005,32770,3,3,0,0,0,0,0,0.002305517,6.54296875,4.1328125,42,200,0,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,54,1005,32770,3,12496,1669,36,165,27,4.258,0.872069285,6.54296875,4.1328125,42,200,4.32,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,107,1005,32770,3,25191,3433,77,843,32,10.2891,3.455697099,6.54296875,4.1328125,42,200,10.815,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,160,1005,32770,3,37946,4887,115,1148,64,22.9684,9.136351748,6.54296875,4.1328125,42,200,24.055,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,212,1005,32770,3,50471,6325,153,2383,74,39.667,18.368838603,6.54296875,4.1328125,42,200,41.03,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,265,1005,32770,3,63244,7687,191,3612,99,58.4824,32.869653288,6.54296875,4.1328125,42,200,59.67,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,318,1005,32770,3,75951,9038,213,4095,111,83.2968,53.914488446,6.54296875,4.1328125,42,200,84.135,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,371,1005,32770,3,88592,10419,248,5606,137,108.5631,82.315505693,6.54296875,4.1328125,42,200,108.76,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,424,1005,32770,3,99689,11575,281,6491,132,142.5113,112.421229857,6.54296875,4.1328125,42,200,144.675,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,477,1005,32770,3,109091,12341,299,6491,150,177.2046,138.834567971,6.54296875,4.1328125,42,200,179.2,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,529,1005,32770,3,117411,12931,318,6491,169,210.7277,166.224048994,6.54296875,4.1328125,42,200,211.66,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,582,1005,32770,3,125382,13421,339,7277,201,246.0204,194.364660607,6.54296875,4.1328125,42,200,246.06,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,635,1005,32770,3,132970,13782,339,7277,201,284.0547,223.729585989,6.54296875,4.1328125,42,200,285.29,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,688,1005,32770,3,140020,14066,341,7595,201,319.7704,252.239188034,6.54296875,4.1328125,42,200,319.865,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,741,1005,32770,3,146753,14330,341,7595,201,355.5781,280.97312904,6.54296875,4.1328125,42,200,354.73,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,794,1005,32770,3,153353,14573,341,7595,201,394.2528,310.571711808,6.54296875,4.1328125,42,200,397.665,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,846,1005,32770,3,160074,14864,341,7595,201,434.7992,338.718865745,6.54296875,4.1328125,42,200,434.555,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,899,1005,32770,3,167156,15117,341,7595,201,477.8784,366.819351581,6.54296875,4.1328125,42,200,479.04,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,952,1005,32770,3,173850,15396,341,7595,201,521.4996,394.516230107,6.54296875,4.1328125,42,200,521.47,10000
email.bin,kic,GongD1,0.2,201,0.4,0.1,1005,1005,32770,3,180505,15611,347,8615,201,564.1319,423.0384672,6.54296875,4.1328125,42,200,563.37,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,1,1005,32770,3,3,0,0,0,0,0,0.002553756,6.52734375,4.171875,42,200,0,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,54,1005,32770,3,14990,3008,20,50,21,3.5785,1.250692783,6.52734375,4.171875,42,200,3.675,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,107,1005,32770,3,29876,5897,61,519,51,8.7172,4.873645443,6.52734375,4.171875,42,200,9.17,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,160,1005,32770,3,44999,8778,85,1124,53,19.286,13.107735069,6.52734375,4.171875,42,200,19.925,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,212,1005,32770,3,59357,11379,125,1784,82,34.0389,26.161783006,6.52734375,4.171875,42,200,34.61,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,265,1005,32770,3,69520,12626,146,2786,105,52.802,38.533195228,6.52734375,4.171875,42,200,53.61,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,318,1005,32770,3,77213,13332,148,2925,105,74.6709,51.214393906,6.52734375,4.171875,42,200,75.27,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,371,1005,32770,3,83844,13849,148,2925,105,101.3032,65.34275311,6.52734375,4.171875,42,200,101.495,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,424,1005,32770,3,90202,14404,159,3977,105,130.3815,81.492672698,6.52734375,4.171875,42,200,132.645,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,477,1005,32770,3,97264,14941,189,7014,158,165.2491,100.088913609,6.52734375,4.171875,42,200,166.63,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,529,1005,32770,3,103854,15349,211,9423,158,200.4213,121.063277037,6.52734375,4.171875,42,200,202.035,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,582,1005,32770,3,110534,15694,217,10080,158,239.5098,144.14130705,6.52734375,4.171875,42,200,240.595,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,635,1005,32770,3,116899,15880,221,10518,158,273.8315,168.246394959,6.52734375,4.171875,42,200,273.69,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,688,1005,32770,3,123085,16046,221,10518,158,307.6425,193.245389762,6.52734375,4.171875,42,200,309.135,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,741,1005,32770,3,129039,16185,221,10518,158,341.4605,218.734654052,6.52734375,4.171875,42,200,342.64,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,794,1005,32770,3,134809,16324,221,10518,158,376.3884,244.62930912,6.52734375,4.171875,42,200,375.545,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,846,1005,32770,3,140812,16524,241,13310,158,415.1702,269.453490761,6.52734375,4.171875,42,200,414.485,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,899,1005,32770,3,147293,16686,264,16626,158,453.9162,294.915160087,6.52734375,4.171875,42,200,457.585,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,952,1005,32770,3,153627,16863,287,19961,201,498.5897,321.208125386,6.52734375,4.171875,42,200,499.05,10000
email.bin,kic,Pham22,0.2,201,0.4,0.1,1005,1005,32770,3,160053,17030,305,22589,201,541.5614,348.618865855,6.52734375,4.171875,42,200,543.84,10000
