graph,objective,route,B_factor,B,alpha,epsilon,t,n,m,K,queries,accepted_pairs,swaps,consistency_violations,support_size,f_value,time_sec,graph_mem_mb,algo_mem_mb,seed,kic_mc,decision_f_value,eval_mc
fb.bin,kic,OPS,0.2,807,1.505,0.1,1,4039,176468,3,4,1,1,0,1,0,0.01050809,20.03515625,14.55859375,42,100,0,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,214,4039,176468,3,856,100,100,0,100,63.9272,0.121514046,20.03515625,14.55859375,42,100,66.11,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,426,4039,176468,3,1704,225,225,0,225,148.6663,0.724483447,20.03515625,14.55859375,42,100,149.53,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,639,4039,176468,3,2556,365,365,0,365,168.3366,1.67508851,20.03515625,14.55859375,42,100,169.39,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,851,4039,176468,3,3404,465,465,0,465,222.6725,3.048715629,20.03515625,14.55859375,42,100,222.76,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,1064,4039,176468,3,4256,555,555,0,555,310.3461,5.278399652,20.03515625,14.55859375,42,100,310.93,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,1276,4039,176468,3,5104,625,625,0,625,449.9461,9.123963437,20.03515625,14.55859375,42,100,453.28,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,1489,4039,176468,3,5956,700,700,0,700,563.927,15.506502477,20.03515625,14.55859375,42,100,565.86,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,1701,4039,176468,3,6804,759,759,0,759,663.3902,22.791844073,20.03515625,14.55859375,42,100,661.15,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,1914,4039,176468,3,7658,809,809,0,807,731.7916,30.760007731,20.03515625,14.55859375,42,100,729.63,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,2126,4039,176468,3,8578,881,881,0,807,857.9729,39.656202873,20.03515625,14.55859375,42,100,861.33,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,2339,4039,176468,3,9511,962,962,0,807,918.5148,49.360620586,20.03515625,14.55859375,42,100,918.04,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,2551,4039,176468,3,10416,1019,1019,0,807,981.1114,58.980505228,20.03515625,14.55859375,42,100,987.62,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,2764,4039,176468,3,11337,1088,1088,0,807,1066.5013,68.980770416,20.03515625,14.55859375,42,100,1070.78,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,2976,4039,176468,3,12223,1126,1126,0,807,1230.8169,79.587745667,20.03515625,14.55859375,42,100,1235.86,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,3189,4039,176468,3,13111,1162,1162,0,807,1281.1044,91.008232373,20.03515625,14.55859375,42,100,1278.73,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,3401,4039,176468,3,14004,1207,1207,0,807,1389.5479,103.123152903,20.03515625,14.55859375,42,100,1400.8,10000
fb.bin,kic,OPS,0.2,807,1.505,0.1,3614,4039,176468,3,14890,1241,1241,0,807,1482.3541,116.647967612,20.03515625,14.55859375,42,100,1479.96,10000
