graph,objective,route,B_factor,B,alpha,epsilon,t,n,m,K,queries,accepted_pairs,swaps,consistency_violations,support_size,f_value,time_sec,graph_mem_mb,algo_mem_mb,seed,kic_mc,decision_f_value,eval_mc
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,1,107614,13673453,3,4,1,1,0,1,0,0.635075662,1214.74609375,849.1640625,42,100,0,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,5665,107614,13673453,3,22660,4006,4006,0,4006,747.1112,773.611449458,1214.74609375,852.40625,42,100,750.74,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,11329,107614,13673453,3,45316,7848,7848,0,7848,1635.545,3072.034981131,1214.74609375,852.73046875,42,100,1642.04,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,16993,107614,13673453,3,67972,11271,11271,0,11271,2730.9765,8247.686116044,1214.74609375,852.9296875,42,100,2739.65,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,22656,107614,13673453,3,90624,14091,14091,0,14091,4773.6542,18273.329848979,1214.74609375,950.3828125,42,100,4775.79,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,28320,107614,13673453,3,113280,16837,16837,0,16837,6719.5257,30865.201133737,1214.74609375,950.55859375,42,100,6732.24,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,33984,107614,13673453,3,135936,19182,19182,0,19182,9031.8844,47578.530828976,1214.74609375,950.83984375,42,100,9026.71,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,39648,107614,13673453,3,158592,21328,21328,0,21328,11332.3105,66850.652114847,1214.74609375,950.984375,42,100,11315.07,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,45312,107614,13673453,3,183199,23473,23473,0,21522,14366.106,90153.405156338,1214.74609375,951.30859375,42,100,14371.96,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,50976,107614,13673453,3,208062,25680,25680,0,21522,17664.8584,115714.022232993,1214.74609375,951.43359375,42,100,17732.61,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,56639,107614,13673453,3,232801,27767,27767,0,21522,21080.4574,142815.270183195,1214.74609375,951.578125,42,100,21102.65,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,62303,107614,13673453,3,257485,29795,29795,0,21522,24362.8921,170954.836091762,1214.74609375,951.69921875,42,100,24435.92,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,67967,107614,13673453,3,281942,31596,31596,0,21522,27953.1947,200244.433315727,1214.74609375,951.80078125,42,100,27972.98,10000
gplus.bin,kic,OPS,0.2,21522,1.505,0.1,73631,107614,13673453,3,306396,33394,33394,0,21522,30997.7691,231501.18657643,1214.74609375,951.90625,42,100,31007.17,10000
gplus.bin,kic,GongD1,0.2,21522,0.4,0.1,1,107614,13673453,3,3,0,0,0,0,0,0.620217902,1215.01171875,849.7109375,42,100,0,10000
gplus.bin,kic,Pham22,0.2,21522,0.4,0.1,1,107614,13673453,3,3,0,0,0,0,0,0.616763379,1214.96875,850.234375,42,100,0,10000
gplus.bin,kic,GongD1,0.2,21522,0.4,0.1,5665,107614,13673453,3,2630575,386539,2874,276062,2798,994.7232,73347.072295695,1215.01171875,970.81640625,42,100,998.82,10000
gplus.bin,kic,Pham22,0.2,21522,0.4,0.1,5665,107614,13673453,3,2857453,408619,1530,86000,1647,989.6513,66518.018483716,1214.96875,971.76953125,42,100,992.31,10000
gplus.bin,kic,Pham22,0.2,21522,0.4,0.1,11329,107614,13673453,3,5648087,762297,3864,1666108,4676,2117.1932,242054.25625403,1214.96875,972.06640625,42,100,2136.88,10000
