graph,objective,route,B_factor,B,alpha,epsilon,t,n,m,K,queries,accepted_pairs,swaps,consistency_violations,support_size,f_value,time_sec,graph_mem_mb,algo_mem_mb,seed,kic_mc,decision_f_value,eval_mc
email.bin,lt,OPS,0.2,201,1.505,0.1,1,1005,32770,3,4,1,1,0,1,0,0.003372706,6.5703125,2.80859375,42,200,0,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,54,1005,32770,3,216,31,31,0,31,4.1933,0.02210754,6.5703125,2.80859375,42,200,4.335,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,107,1005,32770,3,428,60,60,0,60,10.2717,0.066546855,6.5703125,2.80859375,42,200,10.385,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,160,1005,32770,3,640,83,83,0,83,21.8133,0.155037269,6.5703125,2.80859375,42,200,22.175,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,212,1005,32770,3,848,101,101,0,101,39.7123,0.294614072,6.5703125,2.80859375,42,200,39.725,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,265,1005,32770,3,1060,120,120,0,120,61.3761,0.484792443,6.5703125,2.80859375,42,200,60.895,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,318,1005,32770,3,1272,139,139,0,139,87.3792,0.744398892,6.5703125,2.80859375,42,200,86.985,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,371,1005,32770,3,1484,156,156,0,156,121.2708,1.077877908,6.5703125,2.8515625,42,200,120.755,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,424,1005,32770,3,1696,165,165,0,165,165.217,1.519920135,6.5703125,2.8515625,42,200,163.595,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,477,1005,32770,3,1908,179,179,0,179,211.291,2.109846733,6.5703125,2.8984375,42,200,209.29,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,529,1005,32770,3,2116,189,189,0,189,261.6583,2.82513254,6.5703125,4.015625,42,200,261.565,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,582,1005,32770,3,2328,198,198,0,198,315.7136,3.706146279,6.5703125,4.015625,42,200,315.14,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,635,1005,32770,3,2543,204,204,0,201,364.1739,4.716810527,6.5703125,4.1484375,42,200,363.945,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,688,1005,32770,3,2759,208,208,0,201,411.5358,5.804277356,6.5703125,4.16015625,42,200,410.81,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,741,1005,32770,3,2979,216,216,0,201,458.3064,6.970902411,6.5703125,4.20703125,42,200,459.365,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,794,1005,32770,3,3200,225,225,0,201,504.361,8.209116373,6.5703125,4.36328125,42,200,503.78,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,846,1005,32770,3,3414,231,231,0,201,562.4281,9.473240646,6.5703125,4.36328125,42,200,563.17,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,899,1005,32770,3,3628,233,233,0,201,618.7407,10.810990988,6.5703125,4.44140625,42,200,619.35,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,952,1005,32770,3,3842,235,235,0,201,679.2736,12.242722134,6.5703125,4.4453125,42,200,681.29,10000
email.bin,lt,OPS,0.2,201,1.505,0.1,1005,1005,32770,3,4061,242,242,0,201,739.5127,13.781923108,6.5703125,4.56640625,42,200,737.78,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,1,1005,32770,3,3,0,0,0,0,0,0.003336941,6.55859375,4.6875,42,200,0,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,54,1005,32770,3,12443,1699,30,14,27,4.639,0.912487492,6.55859375,5.3046875,42,200,4.895,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,107,1005,32770,3,25066,3447,68,403,57,10.9515,3.119070393,6.55859375,5.55078125,42,200,11.13,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,160,1005,32770,3,37786,4883,104,969,58,24.7003,7.701507346,6.55859375,5.91015625,42,200,25.22,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,212,1005,32770,3,50182,6200,138,2048,70,44.9203,14.487269399,6.55859375,5.97265625,42,200,45.25,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,265,1005,32770,3,62837,7432,174,3044,94,67.6759,24.557735283,6.55859375,5.984375,42,200,67.07,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,318,1005,32770,3,75659,8749,199,3736,122,96.7418,38.970486266,6.55859375,6.01953125,42,200,96.08,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,371,1005,32770,3,88445,10054,203,4056,140,128.7792,57.848288478,6.55859375,6.09375,42,200,128.385,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,424,1005,32770,3,101002,11276,230,5808,133,173.5472,80.929485599,6.55859375,6.13671875,42,200,173.245,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,477,1005,32770,3,111747,12218,258,7115,170,220.312,102.664012419,6.55859375,6.203125,42,200,220.36,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,529,1005,32770,3,120920,12992,286,8789,169,268.102,125.206242048,6.55859375,6.23828125,42,200,267.83,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,582,1005,32770,3,129409,13533,315,11841,177,325.2684,149.28189869,6.55859375,6.4296875,42,200,326.075,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,635,1005,32770,3,137356,13955,338,14265,201,371.9877,174.992105763,6.55859375,6.47265625,42,200,371.785,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,688,1005,32770,3,144884,14312,358,17506,201,421.8693,201.700727045,6.55859375,6.4765625,42,200,422.015,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,741,1005,32770,3,151728,14638,383,21643,201,470.9402,227.678000855,6.55859375,6.57421875,42,200,471.455,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,794,1005,32770,3,158460,14922,410,26050,201,522.441,255.537326655,6.55859375,6.5859375,42,200,523.02,10000
email.bin,lt,GongD1,0.2,201,0.4,0.1,846,1005,32770,3,165487,15299,431,29379,201,579.8155,283.43479025,6.55859375,6.58984375,42,200,580.605,10000
