graph,objective,route,B_factor,B,alpha,epsilon,t,n,m,K,queries,accepted_pairs,swaps,consistency_violations,support_size,f_value,time_sec,graph_mem_mb,algo_mem_mb,seed,kic_mc,decision_f_value,eval_mc
fb.bin,lt,OPS,0.2,807,1.505,0.1,1,4039,176468,3,4,1,1,0,1,0,0.013137985,20.14453125,12.54296875,42,100,0,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,214,4039,176468,3,856,93,93,0,93,78.0507,0.123832729,20.14453125,12.54296875,42,100,78.12,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,426,4039,176468,3,1704,194,194,0,194,203.0562,0.625966809,20.14453125,12.54296875,42,100,203.54,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,639,4039,176468,3,2556,321,321,0,321,229.867,1.442315519,20.14453125,15.59765625,42,100,231.18,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,851,4039,176468,3,3404,423,423,0,423,295.3216,2.545861839,20.14453125,15.71484375,42,100,295.14,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,1064,4039,176468,3,4256,514,514,0,514,406.3672,4.300209879,20.14453125,15.96875,42,100,409.29,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,1276,4039,176468,3,5104,591,591,0,591,601.4191,7.225114532,20.14453125,15.97265625,42,100,602.32,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,1489,4039,176468,3,5956,666,666,0,666,777.0892,12.528201885,20.14453125,15.98828125,42,100,778.19,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,1701,4039,176468,3,6804,718,718,0,718,908.4405,18.576311179,20.14453125,16.046875,42,100,909.01,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,1914,4039,176468,3,7656,760,760,0,760,1022.3384,25.202928585,20.14453125,16.05078125,42,100,1025.17,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,2126,4039,176468,3,8517,820,820,0,807,1170.9744,32.325853957,20.14453125,16.0625,42,100,1169.22,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,2339,4039,176468,3,9448,899,899,0,807,1273.4721,40.330064659,20.14453125,16.0625,42,100,1275.41,10000
fb.bin,lt,OPS,0.2,807,1.505,0.1,2551,4039,176468,3,10366,969,969,0,807,1357.2835,48.133511742,20.14453125,16.0625,42,100,1353.93,10000
